Timestamp,Countries
"11/23/2024, 10.19.07.525 am","Yemen"
"11/23/2024, 10.19.08.966 am","Sudan"
"11/23/2024, 10.19.10.228 am","Sudan"
"11/23/2024, 10.19.16.933 am","United Arab Emirates"
"11/23/2024, 10.19.21.533 am","Sudan"
"11/23/2024, 10.19.23.674 am","Yemen"
"11/23/2024, 10.19.27.430 am","Yemen"
"11/23/2024, 10.19.28.398 am","Yemen"
"11/23/2024, 10.19.28.824 am","Yemen"
"11/23/2024, 10.19.31.788 am","Yemen"
"11/23/2024, 10.19.32.797 am","Yemen"
"11/23/2024, 10.19.34.863 am","United Arab Emirates"
"11/23/2024, 10.22.30.586 am","Sudan"
"11/23/2024, 10.22.38.799 am","Sudan"
"11/23/2024, 10.22.39.395 am","Sudan"
"11/23/2024, 10.22.41.170 am","Sudan"
"11/23/2024, 10.22.44.175 am","Sudan"
"11/23/2024, 10.22.44.915 am","Sudan"
"11/23/2024, 10.22.49.728 am","Sudan"
"11/23/2024, 10.22.53.759 am","Yemen"
"11/23/2024, 10.22.53.805 am","Yemen"
"11/23/2024, 10.22.54.675 am","Yemen"
"11/23/2024, 10.22.58.856 am","Sudan"
"11/23/2024, 10.39.16.666 am","Sudan"
"11/23/2024, 10.39.17.703 am","Sudan"
"11/23/2024, 10.39.20.245 am","Sudan"
"11/23/2024, 10.39.30.435 am","Sudan"
"11/23/2024, 10.39.33.833 am","Sudan"
"11/23/2024, 10.39.33.988 am","Sudan"
"11/23/2024, 10.39.43.371 am","Yemen"
"11/23/2024, 4.16.34.859 am","Sudan"
"11/23/2024, 4.16.54.435 am","Sudan"
"11/23/2024, 4.17.06.010 am","Sudan"
"11/23/2024, 4.17.11.144 am","Sudan"
"11/23/2024, 4.17.20.357 am","Sudan"
"11/23/2024, 4.17.31.682 am","Sudan"
"11/23/2024, 4.17.59.153 am","Yemen"
"11/23/2024, 4.18.10.456 am","Yemen"
"11/23/2024, 4.18.10.726 am","Yemen"
"11/23/2024, 4.18.14.890 am","Yemen"
"11/23/2024, 4.18.26.258 am","Yemen"
"11/23/2024, 4.18.29.964 am","Yemen"
"11/23/2024, 4.18.40.566 am","Yemen"
"11/23/2024, 4.18.56.341 am","Yemen"
"11/23/2024, 4.19.37.208 am","Sudan"
"11/23/2024, 4.19.49.148 am","Yemen"
"11/23/2024, 4.19.51.055 am","Yemen"
"11/23/2024, 4.19.53.928 am","Yemen"
"11/23/2024, 4.19.58.378 am","Yemen"
"11/23/2024, 4.20.10.095 am","Yemen"
"11/23/2024, 4.20.32.123 am","Yemen"
"11/23/2024, 4.20.33.184 am","Yemen"
"11/23/2024, 4.20.45.662 am","Yemen"
"11/23/2024, 4.20.47.478 am","Yemen"
"11/23/2024, 4.21.12.881 am","Yemen"
"11/23/2024, 4.21.19.614 am","Yemen"
"11/23/2024, 4.21.24.598 am","Yemen"
"11/23/2024, 4.21.25.492 am","Yemen"
"11/23/2024, 4.21.26.566 am","Yemen"
"11/23/2024, 4.21.32.529 am","Sudan"
"11/23/2024, 4.21.35.776 am","Yemen"
"11/23/2024, 4.21.52.526 am","Sudan"
"11/23/2024, 4.21.55.377 am","Sudan"
"11/23/2024, 4.21.55.414 am","Sudan"
"11/23/2024, 4.22.02.818 am","Yemen"
"11/23/2024, 4.22.09.545 am","Yemen"
"11/23/2024, 4.22.36.173 am","Sudan"
"11/23/2024, 4.22.54.385 am","Yemen"
"11/23/2024, 4.23.04.624 am","Sudan"
"11/23/2024, 4.23.07.190 am","Yemen"
"11/23/2024, 4.23.09.517 am","Yemen"
"11/23/2024, 4.23.17.701 am","Yemen"
"11/23/2024, 4.23.27.787 am","Sudan"
"11/23/2024, 4.23.45.463 am","Yemen"
"11/23/2024, 4.23.51.385 am","Sudan"
"11/23/2024, 4.23.58.245 am","Yemen"
"11/23/2024, 4.24.03.865 am","Sudan"
"11/23/2024, 4.24.04.662 am","Sudan"
"11/23/2024, 4.24.17.320 am","Yemen"
"11/23/2024, 4.24.22.219 am","Sudan"
"11/23/2024, 4.24.23.226 am","Sudan"
"11/23/2024, 4.24.42.518 am","Yemen"
"11/23/2024, 4.24.48.244 am","Yemen"
"11/23/2024, 4.24.53.819 am","Yemen"
"11/23/2024, 4.25.04.766 am","Yemen"
"11/23/2024, 4.25.08.391 am","Yemen"
"11/23/2024, 4.25.08.417 am","Yemen"
"11/23/2024, 4.25.12.525 am","Yemen"
"11/23/2024, 4.25.13.948 am","Yemen"
"11/23/2024, 4.25.15.802 am","Yemen"
"11/23/2024, 4.25.32.754 am","Yemen"
"11/23/2024, 4.25.44.784 am","Yemen"
"11/23/2024, 4.25.47.827 am","Yemen"
"11/23/2024, 4.25.55.729 am","Sudan"
"11/23/2024, 4.26.17.566 am","Yemen"
"11/23/2024, 4.26.20.233 am","Yemen"
"11/23/2024, 4.26.25.016 am","Sudan"
"11/23/2024, 4.26.46.746 am","Sudan"
"11/23/2024, 4.26.57.716 am","Sudan"
"11/23/2024, 4.27.20.224 am","Yemen"
"11/23/2024, 4.27.21.239 am","Yemen"
"11/23/2024, 4.27.30.262 am","Yemen"
"11/23/2024, 4.27.32.054 am","Yemen"
"11/23/2024, 4.27.39.038 am","Yemen"
"11/23/2024, 4.27.45.646 am","Yemen"
"11/23/2024, 4.29.24.753 am","Sudan"
"11/23/2024, 4.29.44.192 am","Yemen"
"11/23/2024, 4.29.44.740 am","Yemen"
"11/23/2024, 4.30.15.436 am","Yemen"
"11/23/2024, 4.30.29.840 am","Sudan"
"11/23/2024, 4.30.39.854 am","Yemen"
"11/23/2024, 4.30.42.072 am","Yemen"
"11/23/2024, 4.30.50.743 am","Sudan"
"11/23/2024, 4.31.08.313 am","Yemen"
"11/23/2024, 4.31.12.075 am","Yemen"
"11/23/2024, 4.31.27.645 am","Yemen"
"11/23/2024, 4.31.35.465 am","Yemen"
"11/23/2024, 4.31.40.332 am","Yemen"
"11/23/2024, 4.31.51.287 am","Egypt"
"11/23/2024, 4.31.52.615 am","Egypt"
"11/23/2024, 4.32.00.255 am","Egypt"
"11/23/2024, 4.32.28.612 am","Yemen"
"11/23/2024, 4.32.41.812 am","Sudan"
"11/23/2024, 4.32.54.846 am","Yemen"
"11/23/2024, 4.32.54.917 am","Yemen"
